"id","advertiser_id","advertiser_name","disclaimer","spend","ad_library_size","date_produced","country_code","currency_units","create_date","update_date"
"5d1d8017-87ca-47c1-99f4-7666f051a920","139858509373289","UNICEF Nederland","Unicef Nederland",50,8,"2023-02-05","NL","EUR","2023-02-09","2023-02-09"
"18201006-f31a-4681-9c82-ebe93024b490","844559615710915","Lilian Marijnissen","SP",50,9,"2023-02-05","NL","EUR","2023-02-09","2023-02-09"
"b26aca1d-6c61-4138-a058-40b08998e8ff","133720236695807","Werken voor Nederland","Werken voor Nederland",50,7,"2023-02-05","NL","EUR","2023-02-09","2023-02-09"
"b1269ad4-d152-4303-a7f7-ec882211066b","421920954609274","VVD Flevoland","VVD Flevoland",50,6,"2023-02-05","NL","EUR","2023-02-09","2023-02-09"
"ca5df4e5-d331-4821-a83e-e48baa56faaa","473492249475971","Stirezo Pro-life","Stichting Civitas Christiana",50,4,"2023-02-05","NL","EUR","2023-02-09","2023-02-09"
"9dc7678e-0209-4d6c-b753-04fe3c4a5d0d","100169997009","Proefdiervrij","Proefdiervrij",50,18,"2023-02-05","NL","EUR","2023-02-09","2023-02-09"
"93e34ef1-368c-481f-b990-a20b93f8261d","751427151608409","Water Natuurlijk Limburg","Water Natuurlijk Limburg",50,17,"2023-02-05","NL","EUR","2023-02-09","2023-02-09"
"089e4a1a-bebc-43ab-bbf5-5caae5b509dc","101701619359166","GOUD Nederland","Fractie den Haan = Goud",50,4,"2023-02-05","NL","EUR","2023-02-09","2023-02-09"
"f3aa0ad4-a97c-4aec-a7cd-34d0b256c07f","194041757291378","PAX","PAX",50,2,"2023-02-05","NL","EUR","2023-02-09","2023-02-09"
"d4edb41c-bc1b-48bd-bdd5-f45cad075779","222029491143966","Free Press Unlimited","Free Press Unlimited",50,9,"2023-02-05","NL","EUR","2023-02-09","2023-02-09"
"4c89d9e6-556f-4057-82c0-66d1b3328175","404247949634770","CARE Nederland","CARE Nederland",50,4,"2023-02-05","NL","EUR","2023-02-09","2023-02-09"
"fd840b1e-46ec-415c-b48f-af931ebcb3d7","148404651881567","VNO-NCW","VNO-NCW",50,21,"2023-02-05","NL","EUR","2023-02-09","2023-02-09"
"027bea92-1b1b-4d90-a261-22507fa4456f","100455310014019","Solidaridad","Solidaridad",50,5,"2023-02-05","NL","EUR","2023-02-09","2023-02-09"
"c9bb1db8-0aac-4871-af64-c6592270be4e","100897172433195","EPZ","EPZ",50,1,"2023-02-05","NL","EUR","2023-02-09","2023-02-09"
"dff36699-334d-4f37-b033-9543f88f8ac6","436101979807727","Pointer (KRO-NCRV)","KRO-NCRV",50,28,"2023-02-05","NL","EUR","2023-02-09","2023-02-09"
