page_name,page_id,party,source,disclaimer,amount_spent_eur,number_of_ads_in_library,party1,party2
Groenlinks Schagen,154736434721703,GroenLinks,NA,NA,NA,NA,NA,NA
DENK,1550088745275910,DENK,NA,NA,NA,NA,NA,NA
PvdA Waalwijk,1551637291831660,PvdA,NA,NA,NA,NA,NA,NA
Wethouder Klaas Valkering,1555448837895990,CDA,NA,NA,NA,NA,NA,NA
CDA Zaanstad,1557210341199530,CDA,NA,NA,NA,NA,NA,NA
D66 Den Haag,155758593317,D66,NA,NA,NA,NA,NA,NA
CDA Provincie Utrecht,1559225897625340,CDA,NA,NA,NA,NA,NA,NA
VVD Oisterwijk,155956504541781,VVD,NA,NA,NA,NA,NA,NA
VVD Waterschap Limburg,1563699950578930,VVD,NA,NA,NA,NA,NA,NA
PVV Lelystad,156993281594555,PVV,NA,NA,NA,NA,NA,NA
VVD Gennep,157342181127991,VVD,NA,NA,NA,NA,NA,NA
Wiardi Beckman Stichting,157600177601312,PvdA,NA,NA,NA,NA,NA,NA
ChristenUnie Zeeland,157671251089913,ChristenUnie,NA,NA,NA,NA,NA,NA
CDA Harderwijk Hierden,1595248250741420,CDA,NA,NA,NA,NA,NA,NA
Harry van der Molen,1598361623791980,CDA,NA,NA,NA,NA,NA,NA
D66 Haarlemmermeer,160222337386850,D66,NA,NA,NA,NA,NA,NA
Michael Kalthoff,160231627962186,D66,NA,NA,NA,NA,NA,NA
VVD Olst-Wijhe,160488060781842,VVD,NA,NA,NA,NA,NA,NA
VVD Zoetermeer,162212757160066,VVD,NA,NA,NA,NA,NA,NA
Forum voor Democratie Zeeland,1631684917126240,FvD,NA,NA,NA,NA,NA,NA
Jonge Democraten Amsterdam,163556367006942,D66,NA,NA,NA,NA,NA,NA
CDA Midden-Groningen,1649013595380040,CDA,NA,NA,NA,NA,NA,NA
Marie-José de Bruijn Raadslid Gemeente Beek,1662148977224700,CDA,NA,NA,NA,NA,NA,NA
PvdA Het Hogeland,1663807260315460,PvdA,NA,NA,NA,NA,NA,NA
SP Winterswijk,166722416859309,SP,NA,NA,NA,NA,NA,NA
D66Velsen,167333296705784,D66,NA,NA,NA,NA,NA,NA
VVD Helmond,167597420073347,VVD,NA,NA,NA,NA,NA,NA
Piratenpartij Utrecht - PPU,167833720446018,Piratenpartij,NA,NA,NA,NA,NA,NA
GroenLinks Dordrecht,168582430001649,GroenLinks,NA,NA,NA,NA,NA,NA
VVD Haarlem,169065999840857,VVD,NA,NA,NA,NA,NA,NA
ChristenUnie Rijssen-Holten,169693763207431,ChristenUnie,NA,NA,NA,NA,NA,NA
VVD Bunnik,169783746552665,VVD,NA,NA,NA,NA,NA,NA
PvdA Amsterdam,170060616402275,PvdA,NA,NA,NA,NA,NA,NA
Michel Rog,1701977273392330,CDA,NA,NA,NA,NA,NA,NA
Koggenlandse VVD,170320339747730,VVD,NA,NA,NA,NA,NA,NA
Rotterdam BIJ1,170469190212212,BIJ1,NA,NA,NA,NA,NA,NA
Raymond Knops,1705660683039800,CDA,NA,NA,NA,NA,NA,NA
PvdA Stichtse Vecht,1715340175444650,PvdA,NA,NA,NA,NA,NA,NA
D66 Delft,171999852960244,D66,NA,NA,NA,NA,NA,NA
Liberale Partij Maastricht,1725464544369370,Libertaire Partij,NA,NA,NA,NA,NA,NA
Maurits von Martels CDA,1727815447535720,CDA,NA,NA,NA,NA,NA,NA
D66 Noord-Beveland,1729913110668530,D66,NA,NA,NA,NA,NA,NA
Jolanda van Gool PvdA073,1734008883285300,PvdA,NA,NA,NA,NA,NA,NA
Malik Azmani,1734459723547460,VVD,NA,NA,NA,NA,NA,NA
VVD Maasland,1743766155846130,VVD,NA,NA,NA,NA,NA,NA
GroenLinks Edam-Volendam,174522982750697,GroenLinks,NA,NA,NA,NA,NA,NA
GroenLinks Midden-Groningen,1745762299021140,GroenLinks,NA,NA,NA,NA,NA,NA
Partij voor de Dieren Almere,1746352698711500,PvdD,NA,NA,NA,NA,NA,NA
Alkmaarse VVD,174727955895958,VVD,NA,NA,NA,NA,NA,NA
Arjan de Vries,174891033059631,PvdA,NA,NA,NA,NA,NA,NA
D66 Goes,1750415495212070,D66,NA,NA,NA,NA,NA,NA
Marius Wiegman,175250373219599,VVD,NA,NA,NA,NA,NA,NA
CDA Den Haag,175658419295023,CDA,NA,NA,NA,NA,NA,NA
GroenLinks,175740570505,GroenLinks,NA,NA,NA,NA,NA,NA
Burgemeester Michiel Pijl,1771461669799660,CDA,NA,NA,NA,NA,NA,NA
CDA Smallingerland,1787602688161420,CDA,NA,NA,NA,NA,NA,NA
VVD Rhenen,1788767758074480,VVD,NA,NA,NA,NA,NA,NA
René Peters,1791229601140640,CDA,NA,NA,NA,NA,NA,NA
GroenLinks Veenendaal,180322962326,GroenLinks,NA,NA,NA,NA,NA,NA
Partij voor de Dieren Alkmaar,1803486813232260,PvdD,NA,NA,NA,NA,NA,NA
Jonge Democraten Leiden - Haaglanden (JD),180992861938464,D66,NA,NA,NA,NA,NA,NA
GroenLinks Groningen,181031342395,GroenLinks,NA,NA,NA,NA,NA,NA
VVD-Woudenberg,183495805173455,VVD,NA,NA,NA,NA,NA,NA
Almeerse VVD,183538275059926,VVD,NA,NA,NA,NA,NA,NA
Rudmer Heerema,1839041743042730,VVD,NA,NA,NA,NA,NA,NA
CDA Hoeksche Waard,184189882389473,CDA,NA,NA,NA,NA,NA,NA
Joba van den Berg,1844392342447690,CDA,NA,NA,NA,NA,NA,NA
PVV Hengelo,185988911871870,PVV,NA,NA,NA,NA,NA,NA
Mustafa Amhaouch,1862580210628900,CDA,NA,NA,NA,NA,NA,NA
D66 Almere,186370224739032,D66,NA,NA,NA,NA,NA,NA
Pvda Beesel-Reuver,186407568165708,PvdA,NA,NA,NA,NA,NA,NA
VVD Zwartewaterland,187680031329594,VVD,NA,NA,NA,NA,NA,NA
Pvda Hof van Twente,187885148045634,PvdA,NA,NA,NA,NA,NA,NA
David Bosch - PVV Utrecht,190051308416101,PVV,NA,NA,NA,NA,NA,NA
PINK Limburg,1901080366774590,PvdD,NA,NA,NA,NA,NA,NA
PvdA Haarlemmermeer,190173454467936,PvdA,NA,NA,NA,NA,NA,NA
PvdA Den Haag,190869220945975,PvdA,NA,NA,NA,NA,NA,NA
DWARS Wageningen Oud/Inactief,192028604154756,GroenLinks,NA,NA,NA,NA,NA,NA
CDA Harlingen,192600774817587,CDA,NA,NA,NA,NA,NA,NA
Jan Hopstaken Raadslid,192705081300674,PvdA,NA,NA,NA,NA,NA,NA
CDA Neder-Betuwe,193223164173865,CDA,NA,NA,NA,NA,NA,NA
ChristenUnie Molenlanden,1938971373084050,ChristenUnie,NA,NA,NA,NA,NA,NA
GroenLinks Aa en Hunze,1940934655935970,GroenLinks,NA,NA,NA,NA,NA,NA
VVD Zwolle,194216524014233,VVD,NA,NA,NA,NA,NA,NA
Bossche VVD,194900893890599,VVD,NA,NA,NA,NA,NA,NA
CDA Urk,195220513824326,CDA,NA,NA,NA,NA,NA,NA
CDA Woudenberg,196310430554710,CDA,NA,NA,NA,NA,NA,NA
VVD De Bilt,196419123885680,VVD,NA,NA,NA,NA,NA,NA
Wetenschappelijk Instituut Statera,1965306773723580,DENK,NA,NA,NA,NA,NA,NA
PVV Stichtse Vecht,1967914100151470,PVV,NA,NA,NA,NA,NA,NA
D66 Beekdaelen,1970145503263770,D66,NA,NA,NA,NA,NA,NA
De Woerdense VVD,197238087060916,VVD,NA,NA,NA,NA,NA,NA
D66 Rotterdam,197240740326073,D66,NA,NA,NA,NA,NA,NA
VVD Heumen,197435423736962,VVD,NA,NA,NA,NA,NA,NA
VVD Wassenaar,197515056951719,VVD,NA,NA,NA,NA,NA,NA
PvdA Europa,199340240080632,PvdA,NA,NA,NA,NA,NA,NA
CDA Doetinchem,199385600271549,CDA,NA,NA,NA,NA,NA,NA
PvdA Sluis,1995851374019790,PvdA,NA,NA,NA,NA,NA,NA
JOVD 's-Hertogenbosch e.o.,200799316690979,VVD,NA,NA,NA,NA,NA,NA
VVD Roosendaal,201138969999107,VVD,NA,NA,NA,NA,NA,NA
D66 Nederweert,201175180237864,D66,NA,NA,NA,NA,NA,NA
D66 Waalre,201821126683232,D66,NA,NA,NA,NA,NA,NA
Wopke Hoekstra,2018408465106870,CDA,NA,NA,NA,NA,NA,NA
Geert Wilders,202064936858448,PVV,NA,NA,NA,NA,NA,NA
CDA Hattem,202773499768178,CDA,NA,NA,NA,NA,NA,NA
VVD Purmerend,204112443050641,VVD,NA,NA,NA,NA,NA,NA
VVD De Fryske Marren,204113719762337,VVD,NA,NA,NA,NA,NA,NA
ChristenUnie West Betuwe,205242676331332,ChristenUnie,NA,NA,NA,NA,NA,NA
JOVD Flevoland,205880866133496,VVD,NA,NA,NA,NA,NA,NA
Esther de Lange,206205079489175,CDA,NA,NA,NA,NA,NA,NA
CDA Overijssel,206932742776182,CDA,NA,NA,NA,NA,NA,NA
PvdA Midden-Delfland,206998282815876,PvdA,NA,NA,NA,NA,NA,NA
Paul Tang,208020512703248,PvdA,NA,NA,NA,NA,NA,NA
PvdA Groningen,208032132579030,PvdA,NA,NA,NA,NA,NA,NA
SGP-jongeren CK,208182482974377,SGP,NA,NA,NA,NA,NA,NA
D66 Heusden,208483356011488,D66,NA,NA,NA,NA,NA,NA
Bas Eickhout,208578955894331,GroenLinks,NA,NA,NA,NA,NA,NA
Bas de Wit,2089589647982370,VVD,NA,NA,NA,NA,NA,NA
D66Voerendaal,209004852638957,D66,NA,NA,NA,NA,NA,NA
D66 Uitgeest,209381922872,D66,NA,NA,NA,NA,NA,NA
"PerspectieF, ChristenUnie-jongeren",209648345740233,ChristenUnie,NA,NA,NA,NA,NA,NA
CDA Uithoorn - De Kwakel,209971895842485,CDA,NA,NA,NA,NA,NA,NA
Wethouder Haydar Erol,211016109549003,GroenLinks,NA,NA,NA,NA,NA,NA
Catharina Rinzema,2114625695290780,VVD,NA,NA,NA,NA,NA,NA
CDA.sonenbreugel,211527752371216,CDA,NA,NA,NA,NA,NA,NA
ChristenUnie,211661062254003,ChristenUnie,NA,NA,NA,NA,NA,NA
Jaco Geurts,211966142554381,CDA,NA,NA,NA,NA,NA,NA
CDA Stede Broec,213849225325847,CDA,NA,NA,NA,NA,NA,NA
VVD Raalte,215048268616589,VVD,NA,NA,NA,NA,NA,NA
Partij voor de Dieren Limburg,217567158255542,PvdD,NA,NA,NA,NA,NA,NA
50PLUS Gelderland,218046225000851,50PLUS,NA,NA,NA,NA,NA,NA
VVD Apeldoorn,218454524993606,VVD,NA,NA,NA,NA,NA,NA
ChristenUnie Harderwijk/Hierden,219046481529214,ChristenUnie,NA,NA,NA,NA,NA,NA
Benni Leemhuis,219151244837835,GroenLinks,NA,NA,NA,NA,NA,NA
PvdA Kerkrade,220138834728873,PvdA,NA,NA,NA,NA,NA,NA
CDA Sluis,220440588148776,CDA,NA,NA,NA,NA,NA,NA
VVD Almelo,222078441181157,VVD,NA,NA,NA,NA,NA,NA
VVD Nijmegen,225044264301061,VVD,NA,NA,NA,NA,NA,NA
D66 Groningen,225922380838567,D66,NA,NA,NA,NA,NA,NA
Stefan Mees,2266283526750050,VVD,NA,NA,NA,NA,NA,NA
GroenLinks Flevoland,227891484046459,GroenLinks,NA,NA,NA,NA,NA,NA
D66 Leudal,228095397350613,D66,NA,NA,NA,NA,NA,NA
Tom Berendsen,2301184920146130,CDA,NA,NA,NA,NA,NA,NA
PvdA Hollands Kroon,230610190325538,PvdA,NA,NA,NA,NA,NA,NA
Kim van Sparrentak,2326697260991620,GroenLinks,NA,NA,NA,NA,NA,NA
VVD Montfoort,233207220184530,VVD,NA,NA,NA,NA,NA,NA
De Nederweerter VVD,233854086775969,VVD,NA,NA,NA,NA,NA,NA
PvdA Haren,234858363335659,PvdA,NA,NA,NA,NA,NA,NA
D66 Haarlem,235718236590845,D66,NA,NA,NA,NA,NA,NA
Jan Middendorp,236051590173019,VVD,NA,NA,NA,NA,NA,NA
Chris van Dam,237429380031891,CDA,NA,NA,NA,NA,NA,NA
CDA Asten,238075096364508,CDA,NA,NA,NA,NA,NA,NA
GroenLinks Westerkwartier,241078299830628,GroenLinks,NA,NA,NA,NA,NA,NA
ChristenUnie Ede,242128959237930,ChristenUnie,NA,NA,NA,NA,NA,NA
Jonge Democraten Rotterdam,242841979083905,D66,NA,NA,NA,NA,NA,NA
VVD Utrechtse Heuvelrug,243926369062604,VVD,NA,NA,NA,NA,NA,NA
VVD Opsterland,244357102562650,VVD,NA,NA,NA,NA,NA,NA
Leon de Lange - wethouder,246666169164239,D66,NA,NA,NA,NA,NA,NA
De Weerter VVD,248861831896013,VVD,NA,NA,NA,NA,NA,NA
GroenLinks Arnhem,250437457508,GroenLinks,NA,NA,NA,NA,NA,NA
CDA-Hilversum,251158461698171,CDA,NA,NA,NA,NA,NA,NA
SGP Jongeren Vallei & Rijn,251558268238889,SGP,NA,NA,NA,NA,NA,NA
SP Deventer,252299414886741,SP,NA,NA,NA,NA,NA,NA
Kati Piri,254626848046622,PvdA,NA,NA,NA,NA,NA,NA
VVD Culemborg,254680748075982,VVD,NA,NA,NA,NA,NA,NA
Lodewijk Asscher,254918764596191,PvdA,NA,NA,NA,NA,NA,NA
De Oldenzaalse VVD,257508240969596,VVD,NA,NA,NA,NA,NA,NA
D66 Tilburg,259119013936,D66,NA,NA,NA,NA,NA,NA
Lokaal CDA gemeente Epe,259622384190321,CDA,NA,NA,NA,NA,NA,NA
CDA Opsterland,260653317801997,CDA,NA,NA,NA,NA,NA,NA
De Heerhugowaardse VVD,261116077361193,VVD,NA,NA,NA,NA,NA,NA
Jeroen Recourt,261344514299889,PvdA,NA,NA,NA,NA,NA,NA
SGP Krimpen aan den IJssel,261891187284177,SGP,NA,NA,NA,NA,NA,NA
CDA Wijchen,262802337226392,CDA,NA,NA,NA,NA,NA,NA
Wethouder Johannes Goossen,267091170462122,CDA,NA,NA,NA,NA,NA,NA
D66 Westfriesland,267847256626886,D66,NA,NA,NA,NA,NA,NA
GroenLinks Leidschendam-Voorburg,270050976436396,GroenLinks,NA,NA,NA,NA,NA,NA
D66 Utrecht,272033265993,D66,NA,NA,NA,NA,NA,NA
VVD Tilburg,272230419490546,VVD,NA,NA,NA,NA,NA,NA
GroenLinks Sint-Michielsgestel,275546039601538,GroenLinks,NA,NA,NA,NA,NA,NA
VVD Oldambt,276491789134449,VVD,NA,NA,NA,NA,NA,NA
SP Leiden,277015828628,SP,NA,NA,NA,NA,NA,NA
ChristenUnie Amsterdam,282108071911694,ChristenUnie,NA,NA,NA,NA,NA,NA
VVD Noord-Holland,286480434837730,VVD,NA,NA,NA,NA,NA,NA
PvdA Leiden,286855144753205,PvdA,NA,NA,NA,NA,NA,NA
SP Breda,289522761094912,SP,NA,NA,NA,NA,NA,NA
Partij voor de Dieren Noord-Holland,290134957713451,PvdD,NA,NA,NA,NA,NA,NA
Mohammed Chahim,290597421719639,PvdA,NA,NA,NA,NA,NA,NA
D66 Amsterdam,290810577595982,D66,NA,NA,NA,NA,NA,NA
Burgemeester Huub Hieltjes,292042270961963,VVD,NA,NA,NA,NA,NA,NA
D66 Venlo,293145967399764,D66,NA,NA,NA,NA,NA,NA
PVV Fryslan,294901587336825,PVV,NA,NA,NA,NA,NA,NA
Judith Sargentini,296489277060163,GroenLinks,NA,NA,NA,NA,NA,NA
SP Den Haag,305271288472,SP,NA,NA,NA,NA,NA,NA
CDA Maastricht,305525042814385,CDA,NA,NA,NA,NA,NA,NA
VVD Goeree-Overflakkee,305812906126532,VVD,NA,NA,NA,NA,NA,NA
D66 Vught-Helvoirt-Cromvoirt,305998839508251,D66,NA,NA,NA,NA,NA,NA
FVD Noord-Brabant,306407210253856,FvD,NA,NA,NA,NA,NA,NA
PvdA Reusel De Mierden,306810719374111,PvdA,NA,NA,NA,NA,NA,NA
